Ingredient,Total Quantity (grams)
?duja Salami,2480.0
Alfredo Sauce,1160.0
Anchovies,2870.0
Artichokes,9460.0
Arugula,775.0
Asiago Cheese,5890.0
Bacon,24930.0
Barbecue Sauce,2390.0
Barbecued Chicken,6950.0
Beef Chuck Roast,11650.0
Blue Cheese,1650.0
Brie Carre Cheese,1680.0
Calabrese Salami,14400.0
Capocollo,58350.0
Caramelized Onions,896.0
Chicken,78450.0
Chipotle Sauce,7270.0
Chorizo Sausage,4500.0
Cilantro,3635.0
Coarse Sicilian Salami,12640.0
Corn,24270.0
Eggplant,2340.0
Feta Cheese,10630.0
Fontina Cheese,5200.0
Friggitello Peppers,620.0
Garlic,23355.0
Genoa Salami,8130.0
Goat Cheese,12160.0
Gorgonzola Piccante Cheese,6920.0
Gouda Cheese,3990.0
Green Olives,4600.0
Green Peppers,6590.0
Italian Sausage,900.0
Jalapeno Peppers,5630.0
Kalamata Olives,3340.0
Luganega Sausage,6320.0
Mozzarella Cheese,11930.0
Mushrooms,23380.0
Onions,3160.0
Oregano,1410.0
Pancetta,3720.0
Parmigiano Reggiano Cheese,16230.0
Pears,560.0
Peperoncini verdi,1630.0
Pepperoni,22980.0
Pesto Sauce,3570.0
Pineapple,9885.0
Plum Tomatoes,3800.0
Prosciutto,1680.0
Prosciutto di San Daniele,1810.0
Provolone Cheese,1650.0
Red Onions,67000.0
Red Peppers,13925.0
Ricotta Cheese,8650.0
Romano Cheese,1650.0
Sliced Ham,2900.0
Smoked Gouda Cheese,1650.0
Soppressata Salami,6050.0
Spinach,23580.0
Sun-dried Tomatoes,1460.0
Thai Sweet Chilli Sauce,4270.0
Thyme,280.0
Tomatoes,46120.0
Zucchini,3390.0
